Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
20MICRONS.NS,,Other Industrial Metals & Mining,Basic Materials,384,,,,,,86400,2,244.65,244.7,241.0,256.88,244.65,244.7,241.0,256.88,1.25,0.0050999997,1720742400,0.0743,,0.841,15.212121,,119016,119016,95435,101326,101326,9034049536,132.0,348.0,1.0529143,259.7674,228.4024,1.25,0.00510934,10194951168,0.06922,15489132,35286500,0.56441003,0.00037,35573000,108.718,2.3548996,0.024,16.83,,0.43147886,1.25,1720742400,NSI,EQUITY,20MICRONS.NS,20 MICRONS LTD,20 Microns Limited,256.02,,,,,,none,,165704992,4.696,1080114944,1313862016,0.783,1.752,8580042752,34.138,243.13,0.09557,0.16825001,-466720992,115088000,0.024,0.203,0.46492,0.12589,0.10908
21STCENMGM.NS,,Capital Markets,Financial Services,10,,,,,,86400,2,95.9,95.9,93.98,95.9,95.9,95.9,93.98,95.9,2.5,0.026099999,1721952000,0.044099998,,0.544,1.6583731,,6016,6016,9751,13136,13136,986790016,29.35,141.4,0.6269557,106.6614,80.4066,,,899824960,0.37807998,2773226,10500000,0.64094,,10593300,90.796,1.0350677,0.049,56.67,,2.2020442,2.5,1721952000,NSI,EQUITY,21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Twentyfirst Century Management Services Limited,93.98,,,,,,none,,86393000,8.233,646390016,,9.597,14.294,1573938944,,150.248,0.53249,0.96726996,-10334500,209936992,0.05,4.028,0.42755002,0.41068,0.29568002
360ONE.NS,,Asset Management,Financial Services,1230,,,,,,86400,2,1211.1,1214.95,1186.4,1218.0,1211.1,1214.95,1186.4,1218.0,10.0,0.0083,1722988800,0.587,3.51,0.475,49.011036,38.09336,634155,634155,693070,685528,685528,469751431168,591.5,1225.95,13.249566,1074.155,937.4053,22.5,0.018578153,536814714880,0.26052,218363307,387920000,0.1976,0.59746,391688000,107.158,11.191886,0.32,24.47,31.77,0.7901336,2.5,1722988800,NSI,EQUITY,360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,1199.3,1350.0,890.0,1170.5454,1130.0,2.09091,buy,11,10628700160,29.074,21649500160,109005897728,2.461,11.198,35454099456,278.92,98.411,0.09399,0.25745,-7159849984,-21277599744,0.274,0.43,0.70015997,0.61063,0.61823004
3IINFOLTD.NS,,Information Technology Services,Technology,5600,,,,,,86400,2,30.33,30.48,30.03,33.4,30.33,30.48,30.03,33.4,,,1309996800,,3.81,0.843,,,3381287,3381287,691662,989078,989078,5591382528,25.23,63.9,0.7294027,28.4168,35.0498,,,5954528256,-0.18441999,151287896,169534000,0.16332,0.0066299997,173944000,16.263,2.0273013,,-879.76,,-0.30443037,15.0,1309996800,NSI,EQUITY,3IINFOLTD.NS,3I INFOTECH LIMITED,3i Infotech Limited,32.97,,,,,,none,,502800000,2.916,-704600000,773299968,0.754,1.154,7665699840,27.58,45.401,-0.0655,-0.40056,-1968362496,2548400128,,-0.155,0.09036,-0.09192,-0.02342
3MINDIA.NS,,Conglomerates,Industrials,1033,,,,,,86400,2,31615.35,31750.0,31318.3,31770.0,31615.35,31750.0,31318.3,31770.0,160.0,0.0046,1720137600,0.4791,,0.218,59.52397,48.66002,3708,3708,5446,6669,6669,354549891072,28498.95,40856.5,8.469335,33384.086,33777.082,,,362474930176,0.14604001,2649544,11265100,0.7648,0.09503999,11271600,1905.806,16.514431,0.216,528.75,,0.008984327,525.0,1720137600,NSI,EQUITY,3MINDIA.NS,3M INDIA LIMITED,3M India Limited,31473.3,40410.0,40410.0,40410.0,40410.0,,none,1,13553505280,1203.144,7871388672,181778000,,,41862778880,0.847,3716.158,,,,,0.216,-0.003,0.40553,0.18802999,0.18334
3PLAND.NS,,,,,,,,,,86400,2,56.58,56.55,55.6,59.99,56.58,56.55,55.6,59.99,,,,,,,,,77580,77580,74836,158827,158827,,25.05,71.66,,45.9288,37.8217,,,,,,,,,,,,,,,,,,NSI,EQUITY,3PLAND.NS,3P LAND HOLDINGS LIMITED,3P Land Holdings Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,
5PAISA.NS,,Capital Markets,Financial Services,548,,,,,,86400,2,505.9,510.5,496.0,510.5,505.9,510.5,496.0,510.5,,,,,,1.16,25.91311,32.132256,26761,26761,131546,35388,35388,15549518848,458.0,758.45,3.9951663,507.405,515.10724,,,1245850624,0.16148001,11862784,31220800,0.57383,0.21020001,31223900,184.582,2.6982586,0.15,19.22,15.5,-0.009545565,,,NSI,EQUITY,5PAISA.NS,5PAISA CAPITAL LIMITED,5paisa Capital Limited,498.05,,,,,,none,,15979458560,512.193,,1687072000,6.995,7.028,3892082944,29.297,125.028,0.03162,0.1168,,1484483968,0.137,0.048,0.99966,,0.30915
63MOONS.NS,,Software - Application,Technology,863,,,,,,86400,2,917.6,943.3,871.75,963.45,917.6,943.3,871.75,963.45,2.0,0.0034,1726790400,0.052800003,5.9,1.193,54.930687,,975291,975291,660728,926781,926781,40214962176,314.65,963.45,10.161231,578.196,430.99274,,,15698733056,0.44103,16066736,46078500,0.58090997,0.0352,46131300,726.448,1.2000171,,15.87,,0.7043011,2.0,1726790400,NSI,EQUITY,63MOONS.NS,63 MOONS TECHNOLOGIES LTD,63 moons technologies limited,871.75,,,,,,none,,12364177408,267.819,245590000,51611000,,,3957686016,0.179,85.863,,,,,,-0.663,0.51252,0.06205,-1.51999
A2ZINFRA.NS,,Engineering & Construction,Industrials,5723,,,,,,86400,2,20.86,20.5,19.89,21.24,20.86,20.5,19.89,21.24,,,1316649600,,,0.653,125.875,,1049824,1049824,416158,839658,839658,3552152064,10.3,24.57,0.9421377,17.7112,17.29475,,,4840600576,-0.01273,108514489,176120000,0.36992002,,176372992,1.827,11.023536,,0.16,,0.9553398,2.0,1316649600,NSI,EQUITY,A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,A2Z Infra Engineering Limited,20.14,,,,,,none,,28604000,0.162,-543674752,1979510016,,,3770310912,948.741,22.058,,,,,,-0.122,0.12818,-0.1442,0.02957
AAATECH.NS,,Information Technology Services,Technology,97,,,,,,86400,2,113.88,115.0,112.0,115.0,113.88,115.0,112.0,115.0,0.5,0.0047,1725580800,0.1884,,0.181,40.731884,,8146,8146,60123,22104,22104,1441988864,79.95,160.85,6.014326,118.6058,114.83935,,,1149805824,0.14196,3394356,12826800,0.72692,,13038500,21.795,5.158064,0.31,2.76,,0.28774345,0.5,1725580800,NSI,EQUITY,AAATECH.NS,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,112.42,,,,,,none,,205088992,15.989,44597500,,,,239759008,,18.7,,,,,0.313,0.053,0.6931,0.18601,0.20577998
